Variable,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,Case,Metric
1|Record_ID[161],-0.282,0.592,-1.2,0.673,0.003,0.003,39439.0,28354.0,1.0,H&N,SDSC_binary
1|Record_ID[165],0.261,0.594,-0.687,1.191,0.003,0.003,32119.0,23532.0,1.0,H&N,SDSC_binary
1|Record_ID[182],-0.574,0.627,-1.518,0.445,0.003,0.003,37745.0,25740.0,1.0,H&N,SDSC_binary
1|Record_ID[186],0.07,0.574,-0.85,0.976,0.003,0.003,37459.0,26331.0,1.0,H&N,SDSC_binary
1|Record_ID[199],1.057,0.643,0.008,2.03,0.004,0.003,23839.0,23646.0,1.0,H&N,SDSC_binary
1|Record_ID[247],-0.958,0.707,-2.061,0.129,0.005,0.004,24337.0,23233.0,1.0,H&N,SDSC_binary
1|Record_ID[292],-0.653,0.729,-1.767,0.496,0.004,0.004,32763.0,22357.0,1.0,H&N,SDSC_binary
1|Record_ID[304],-0.095,0.689,-1.192,0.989,0.003,0.004,40313.0,27701.0,1.0,H&N,SDSC_binary
1|Record_ID[344],-0.095,0.66,-1.128,0.971,0.003,0.003,36404.0,27383.0,1.0,H&N,SDSC_binary
1|Record_ID[362],0.362,0.629,-0.616,1.37,0.003,0.003,35774.0,27068.0,1.0,H&N,SDSC_binary
1|Record_ID[384],-0.613,0.633,-1.585,0.393,0.004,0.003,32661.0,27327.0,1.0,H&N,SDSC_binary
1|Record_ID[386],-0.013,0.621,-1.044,0.936,0.003,0.003,37804.0,24725.0,1.0,H&N,SDSC_binary
1|Record_ID[412],0.062,0.627,-0.944,1.041,0.003,0.003,37021.0,26832.0,1.0,H&N,SDSC_binary
1|Record_ID[418],0.403,0.571,-0.487,1.315,0.003,0.003,34215.0,27934.0,1.0,H&N,SDSC_binary
1|Record_ID[420],-0.619,0.716,-1.749,0.459,0.004,0.004,33753.0,23762.0,1.0,H&N,SDSC_binary
1|Record_ID[451],-0.515,0.711,-1.633,0.585,0.004,0.004,34936.0,24155.0,1.0,H&N,SDSC_binary
1|Record_ID[472],0.392,0.56,-0.492,1.283,0.003,0.003,35597.0,27305.0,1.0,H&N,SDSC_binary
1|Record_ID[539],0.456,0.622,-0.522,1.447,0.003,0.003,35174.0,26648.0,1.0,H&N,SDSC_binary
1|Record_ID[592],-0.157,0.593,-1.077,0.804,0.003,0.003,38227.0,26803.0,1.0,H&N,SDSC_binary
1|Record_ID[597],-0.145,0.653,-1.154,0.918,0.003,0.003,43818.0,26602.0,1.0,H&N,SDSC_binary
1|Record_ID[603],0.152,0.55,-0.701,1.054,0.003,0.003,39948.0,26624.0,1.0,H&N,SDSC_binary
1|Record_ID[630],0.133,0.58,-0.78,1.065,0.003,0.003,36595.0,25942.0,1.0,H&N,SDSC_binary
1|Record_ID[641],-1.181,0.715,-2.222,-0.012,0.005,0.004,23096.0,24062.0,1.0,H&N,SDSC_binary
1|Record_ID[645],0.472,0.565,-0.431,1.358,0.003,0.003,34483.0,25586.0,1.0,H&N,SDSC_binary
1|Record_ID[716],0.431,0.607,-0.513,1.414,0.003,0.003,36111.0,25036.0,1.0,H&N,SDSC_binary
1|Record_ID[727],-0.049,0.572,-0.981,0.838,0.003,0.003,38950.0,26665.0,1.0,H&N,SDSC_binary
1|Record_ID[728],-0.386,0.629,-1.357,0.632,0.003,0.003,37491.0,23887.0,1.0,H&N,SDSC_binary
1|Record_ID[794],0.48,0.558,-0.418,1.344,0.003,0.003,34018.0,26378.0,1.0,H&N,SDSC_binary
1|Record_ID[797],0.37,0.772,-0.831,1.604,0.004,0.004,40993.0,23423.0,1.0,H&N,SDSC_binary
1|Record_ID[799],-0.515,0.713,-1.638,0.589,0.004,0.004,36401.0,23298.0,1.0,H&N,SDSC_binary
1|Record_ID[809],-0.729,0.684,-1.811,0.325,0.004,0.004,27902.0,22224.0,1.0,H&N,SDSC_binary
1|Record_ID[866],0.171,0.641,-0.823,1.211,0.003,0.003,35583.0,27852.0,1.0,H&N,SDSC_binary
1|Record_ID[871],0.282,0.584,-0.64,1.211,0.003,0.003,36156.0,25010.0,1.0,H&N,SDSC_binary
1|Record_ID[885],0.763,0.592,-0.194,1.667,0.004,0.003,27768.0,25484.0,1.0,H&N,SDSC_binary
1|Record_ID[897],-0.269,0.672,-1.326,0.799,0.004,0.003,36671.0,25885.0,1.0,H&N,SDSC_binary
1|Record_ID[916],0.004,0.672,-1.063,1.076,0.004,0.004,31040.0,23265.0,1.0,H&N,SDSC_binary
1|Record_ID[919],0.529,0.569,-0.395,1.405,0.003,0.003,30824.0,25754.0,1.0,H&N,SDSC_binary
1|Record_ID[948],0.218,0.585,-0.68,1.176,0.003,0.003,39870.0,28483.0,1.0,H&N,SDSC_binary
1|Record_ID[949],-0.153,0.67,-1.195,0.928,0.003,0.003,43159.0,26570.0,1.0,H&N,SDSC_binary
