Variable,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,Case,Metric
1|Record_ID[199],1.362,0.714,0.249,2.5,0.004,0.003,40394.0,33103.0,1.0,H&N,DSC_binary
1|Record_ID[247],-1.41,0.758,-2.617,-0.242,0.004,0.003,39187.0,32598.0,1.0,H&N,DSC_binary
1|Record_ID[292],-1.133,0.875,-2.526,0.205,0.004,0.004,42546.0,28314.0,1.0,H&N,DSC_binary
1|Record_ID[304],-0.142,0.818,-1.433,1.152,0.004,0.004,48131.0,33356.0,1.0,H&N,DSC_binary
1|Record_ID[344],0.315,0.81,-0.967,1.597,0.004,0.004,41268.0,30248.0,1.0,H&N,DSC_binary
1|Record_ID[362],0.315,0.737,-0.891,1.452,0.003,0.003,46401.0,32838.0,1.0,H&N,DSC_binary
1|Record_ID[384],-0.904,0.699,-2.001,0.205,0.004,0.003,40567.0,33227.0,1.0,H&N,DSC_binary
1|Record_ID[386],0.238,0.703,-0.867,1.371,0.003,0.003,48704.0,32236.0,1.0,H&N,DSC_binary
1|Record_ID[412],-0.234,0.763,-1.44,0.981,0.004,0.003,44034.0,31139.0,1.0,H&N,DSC_binary
1|Record_ID[418],-0.065,0.671,-1.119,1.022,0.003,0.003,46917.0,32955.0,1.0,H&N,DSC_binary
1|Record_ID[420],-1.205,0.862,-2.503,0.18,0.004,0.004,44263.0,30188.0,1.0,H&N,DSC_binary
1|Record_ID[451],-0.773,0.876,-2.088,0.652,0.004,0.004,59244.0,28444.0,1.0,H&N,DSC_binary
1|Record_ID[472],-0.042,0.651,-1.073,1.002,0.003,0.003,51166.0,30490.0,1.0,H&N,DSC_binary
1|Record_ID[539],0.609,0.73,-0.561,1.755,0.003,0.003,52105.0,32100.0,1.0,H&N,DSC_binary
1|Record_ID[592],-0.807,0.744,-1.99,0.363,0.003,0.003,49905.0,32039.0,1.0,H&N,DSC_binary
1|Record_ID[597],-0.014,0.743,-1.176,1.187,0.003,0.004,58784.0,31967.0,1.0,H&N,DSC_binary
1|Record_ID[603],-0.035,0.65,-1.096,0.973,0.003,0.003,48579.0,32839.0,1.0,H&N,DSC_binary
1|Record_ID[630],0.488,0.672,-0.579,1.556,0.003,0.003,45275.0,31157.0,1.0,H&N,DSC_binary
1|Record_ID[641],-1.575,0.829,-2.875,-0.267,0.004,0.003,41485.0,30088.0,1.0,H&N,DSC_binary
1|Record_ID[645],0.566,0.658,-0.451,1.631,0.003,0.003,50208.0,33371.0,1.0,H&N,DSC_binary
1|Record_ID[716],0.276,0.692,-0.79,1.405,0.003,0.003,51471.0,31370.0,1.0,H&N,DSC_binary
1|Record_ID[727],0.12,0.665,-0.917,1.195,0.003,0.003,48392.0,33559.0,1.0,H&N,DSC_binary
1|Record_ID[728],-0.558,0.76,-1.787,0.615,0.003,0.003,56658.0,29081.0,1.0,H&N,DSC_binary
1|Record_ID[794],1.559,0.703,0.429,2.648,0.004,0.003,37413.0,32464.0,1.0,H&N,DSC_binary
1|Record_ID[797],0.673,0.993,-0.916,2.232,0.004,0.005,53494.0,27969.0,1.0,H&N,DSC_binary
1|Record_ID[799],-0.627,0.908,-2.057,0.788,0.004,0.004,57713.0,29466.0,1.0,H&N,DSC_binary
1|Record_ID[809],-0.883,0.792,-2.122,0.389,0.004,0.003,40049.0,31937.0,1.0,H&N,DSC_binary
1|Record_ID[866],-0.016,0.779,-1.262,1.208,0.004,0.004,46653.0,32811.0,1.0,H&N,DSC_binary
1|Record_ID[871],0.581,0.672,-0.474,1.652,0.003,0.003,48558.0,32149.0,1.0,H&N,DSC_binary
1|Record_ID[885],1.41,0.687,0.302,2.476,0.003,0.003,39492.0,32037.0,1.0,H&N,DSC_binary
1|Record_ID[897],0.259,0.782,-0.994,1.488,0.004,0.004,44145.0,32040.0,1.0,H&N,DSC_binary
1|Record_ID[916],-0.148,0.829,-1.465,1.159,0.004,0.004,40041.0,30138.0,1.0,H&N,DSC_binary
1|Record_ID[919],0.827,0.674,-0.233,1.901,0.003,0.003,46734.0,33022.0,1.0,H&N,DSC_binary
1|Record_ID[948],1.122,0.858,-0.254,2.431,0.004,0.004,46966.0,28473.0,1.0,H&N,DSC_binary
1|Record_ID[949],0.32,0.795,-0.928,1.586,0.003,0.004,55740.0,31134.0,1.0,H&N,DSC_binary
