Case,Metric,Variable,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Sarcoma,DSC_binary,1|Record_ID[397],0.549,1.203,-1.276,2.433,0.014,0.02,12135.0,6676.0,1.0
Sarcoma,DSC_binary,1|Record_ID[418],0.034,1.206,-1.91,1.879,0.018,0.02,7736.0,3104.0,1.0
Sarcoma,DSC_binary,1|Record_ID[421],1.872,1.63,-0.381,4.203,0.02,0.018,8377.0,5728.0,1.0
Sarcoma,DSC_binary,1|Record_ID[451],-0.007,1.131,-1.781,1.827,0.009,0.008,17925.0,13721.0,1.0
Sarcoma,DSC_binary,1|Record_ID[472],0.586,1.157,-1.169,2.458,0.008,0.007,20352.0,17677.0,1.0
Sarcoma,DSC_binary,1|Record_ID[488],-0.306,1.454,-2.59,1.932,0.012,0.013,21540.0,13415.0,1.0
Sarcoma,DSC_binary,1|Record_ID[572],-1.432,1.589,-3.787,0.806,0.02,0.017,9511.0,4488.0,1.0
Sarcoma,DSC_binary,1|Record_ID[603],0.641,1.323,-1.377,2.708,0.017,0.018,8941.0,5105.0,1.0
Sarcoma,DSC_binary,1|Record_ID[630],-0.784,1.398,-3.031,1.182,0.016,0.017,13174.0,5973.0,1.0
Sarcoma,DSC_binary,1|Record_ID[641],0.545,1.212,-1.294,2.498,0.011,0.009,13692.0,12862.0,1.0
Sarcoma,DSC_binary,1|Record_ID[688],-0.964,1.387,-3.092,1.027,0.013,0.012,13779.0,10245.0,1.0
Sarcoma,DSC_binary,1|Record_ID[702],-0.695,1.416,-2.887,1.418,0.017,0.015,10975.0,5582.0,1.0
Sarcoma,DSC_binary,1|Record_ID[710],1.136,1.543,-1.064,3.478,0.023,0.022,7971.0,3489.0,1.0
Sarcoma,DSC_binary,1|Record_ID[767],-0.858,1.511,-3.29,1.241,0.023,0.025,7180.0,3101.0,1.0
Sarcoma,DSC_binary,1|Record_ID[799],0.008,1.143,-1.799,1.797,0.016,0.018,7137.0,2804.0,1.0
Sarcoma,DSC_binary,1|Record_ID[845],-0.535,1.511,-2.863,1.754,0.012,0.013,20267.0,13544.0,1.0
Sarcoma,DSC_binary,1|Record_ID[871],1.372,1.476,-0.656,3.659,0.015,0.011,11239.0,12823.0,1.0
Sarcoma,DSC_binary,1|Record_ID[873],-0.881,1.466,-3.123,1.25,0.013,0.012,16245.0,9267.0,1.0
Sarcoma,DSC_binary,1|Record_ID[885],-0.736,1.298,-2.668,1.21,0.027,0.036,5250.0,2259.0,1.0
Sarcoma,DSC_binary,1|Record_ID[908],-0.376,1.467,-2.623,1.878,0.015,0.019,18115.0,10693.0,1.0
