Case,Metric,Variable,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Breast,SDSC_binary,1|Record_ID[235],-0.563,0.54,-1.411,0.264,0.003,0.002,34339.0,30590.0,1.0
Breast,SDSC_binary,1|Record_ID[239],-0.163,0.502,-0.95,0.647,0.002,0.003,61211.0,30410.0,1.0
Breast,SDSC_binary,1|Record_ID[241],-0.587,0.554,-1.469,0.243,0.003,0.002,32698.0,29946.0,1.0
Breast,SDSC_binary,1|Record_ID[245],-0.108,0.572,-1.033,0.782,0.002,0.003,65096.0,28835.0,1.0
Breast,SDSC_binary,1|Record_ID[247],-0.655,0.555,-1.502,0.205,0.003,0.002,27642.0,29238.0,1.0
Breast,SDSC_binary,1|Record_ID[249],-0.107,0.483,-0.884,0.654,0.002,0.003,69762.0,29387.0,1.0
Breast,SDSC_binary,1|Record_ID[250],-0.222,0.493,-1.018,0.549,0.002,0.002,56756.0,30489.0,1.0
Breast,SDSC_binary,1|Record_ID[255],0.021,0.482,-0.735,0.805,0.002,0.003,70267.0,29451.0,1.0
Breast,SDSC_binary,1|Record_ID[263],-0.068,0.49,-0.84,0.725,0.002,0.003,65536.0,29226.0,1.0
Breast,SDSC_binary,1|Record_ID[266],0.015,0.48,-0.766,0.772,0.002,0.003,70893.0,30734.0,1.0
Breast,SDSC_binary,1|Record_ID[268],-0.199,0.507,-1.032,0.573,0.002,0.002,63482.0,29867.0,1.0
Breast,SDSC_binary,1|Record_ID[290],0.051,0.496,-0.742,0.842,0.002,0.003,71790.0,29045.0,1.0
Breast,SDSC_binary,1|Record_ID[291],-0.229,0.501,-1.016,0.568,0.002,0.002,57513.0,30440.0,1.0
Breast,SDSC_binary,1|Record_ID[300],-0.223,0.511,-1.033,0.58,0.002,0.002,57045.0,31420.0,1.0
Breast,SDSC_binary,1|Record_ID[304],-0.116,0.502,-0.922,0.682,0.002,0.003,64905.0,30197.0,1.0
Breast,SDSC_binary,1|Record_ID[310],0.079,0.483,-0.696,0.852,0.002,0.003,69981.0,30405.0,1.0
Breast,SDSC_binary,1|Record_ID[314],-0.543,0.536,-1.406,0.256,0.003,0.002,36974.0,29238.0,1.0
Breast,SDSC_binary,1|Record_ID[329],-0.078,0.505,-0.87,0.746,0.002,0.003,70517.0,29107.0,1.0
Breast,SDSC_binary,1|Record_ID[330],0.405,0.518,-0.401,1.21,0.002,0.002,46278.0,29975.0,1.0
Breast,SDSC_binary,1|Record_ID[335],0.432,0.53,-0.405,1.256,0.003,0.002,40302.0,29400.0,1.0
Breast,SDSC_binary,1|Record_ID[343],0.121,0.531,-0.715,0.981,0.002,0.003,57021.0,28228.0,1.0
Breast,SDSC_binary,1|Record_ID[347],-0.233,0.512,-1.038,0.579,0.002,0.003,60492.0,29248.0,1.0
Breast,SDSC_binary,1|Record_ID[348],0.269,0.516,-0.556,1.081,0.002,0.003,53490.0,29481.0,1.0
Breast,SDSC_binary,1|Record_ID[349],0.08,0.512,-0.742,0.894,0.002,0.003,67092.0,30546.0,1.0
Breast,SDSC_binary,1|Record_ID[361],-0.284,0.493,-1.09,0.466,0.002,0.002,54434.0,29828.0,1.0
Breast,SDSC_binary,1|Record_ID[362],0.366,0.541,-0.471,1.236,0.003,0.003,43827.0,27782.0,1.0
Breast,SDSC_binary,1|Record_ID[372],-0.263,0.489,-1.063,0.495,0.002,0.002,54518.0,28991.0,1.0
Breast,SDSC_binary,1|Record_ID[383],-0.049,0.561,-0.961,0.832,0.002,0.003,70338.0,28985.0,1.0
Breast,SDSC_binary,1|Record_ID[386],-0.499,0.546,-1.354,0.333,0.003,0.002,37790.0,29822.0,1.0
Breast,SDSC_binary,1|Record_ID[387],-0.007,0.506,-0.803,0.827,0.002,0.003,70027.0,28998.0,1.0
Breast,SDSC_binary,1|Record_ID[397],-0.239,0.492,-1.019,0.538,0.002,0.002,55786.0,30040.0,1.0
Breast,SDSC_binary,1|Record_ID[406],0.165,0.487,-0.634,0.918,0.002,0.002,64203.0,30348.0,1.0
Breast,SDSC_binary,1|Record_ID[410],0.553,0.571,-0.288,1.471,0.003,0.003,33732.0,29109.0,1.0
Breast,SDSC_binary,1|Record_ID[412],-0.009,0.506,-0.797,0.815,0.002,0.003,68489.0,29215.0,1.0
Breast,SDSC_binary,1|Record_ID[416],0.412,0.52,-0.371,1.259,0.003,0.002,42365.0,30800.0,1.0
Breast,SDSC_binary,1|Record_ID[418],0.351,0.536,-0.478,1.204,0.002,0.002,47771.0,32243.0,1.0
Breast,SDSC_binary,1|Record_ID[420],-0.179,0.504,-0.978,0.629,0.002,0.002,58654.0,30719.0,1.0
Breast,SDSC_binary,1|Record_ID[421],-0.167,0.506,-1.014,0.601,0.002,0.003,61093.0,28970.0,1.0
Breast,SDSC_binary,1|Record_ID[449],0.046,0.516,-0.766,0.873,0.002,0.003,66031.0,28480.0,1.0
Breast,SDSC_binary,1|Record_ID[451],-0.165,0.486,-0.939,0.602,0.002,0.002,65333.0,29970.0,1.0
Breast,SDSC_binary,1|Record_ID[462],-0.163,0.492,-0.945,0.62,0.002,0.003,63306.0,28391.0,1.0
Breast,SDSC_binary,1|Record_ID[465],0.367,0.519,-0.448,1.179,0.002,0.002,48431.0,30690.0,1.0
Breast,SDSC_binary,1|Record_ID[467],-0.106,0.503,-0.924,0.679,0.002,0.003,63143.0,31197.0,1.0
Breast,SDSC_binary,1|Record_ID[471],0.202,0.516,-0.631,1.011,0.002,0.002,58112.0,30229.0,1.0
Breast,SDSC_binary,1|Record_ID[472],-0.067,0.484,-0.864,0.684,0.002,0.003,66502.0,28502.0,1.0
Breast,SDSC_binary,1|Record_ID[475],-0.565,0.542,-1.428,0.256,0.003,0.002,33119.0,29688.0,1.0
Breast,SDSC_binary,1|Record_ID[476],0.186,0.491,-0.603,0.956,0.002,0.002,62255.0,30138.0,1.0
Breast,SDSC_binary,1|Record_ID[485],-0.327,0.547,-1.209,0.501,0.003,0.003,48238.0,29471.0,1.0
Breast,SDSC_binary,1|Record_ID[488],-0.046,0.493,-0.834,0.737,0.002,0.003,70613.0,29728.0,1.0
Breast,SDSC_binary,1|Record_ID[496],0.221,0.498,-0.552,1.03,0.002,0.002,58435.0,30268.0,1.0
Breast,SDSC_binary,1|Record_ID[499],-0.138,0.517,-0.949,0.701,0.002,0.003,65473.0,30092.0,1.0
Breast,SDSC_binary,1|Record_ID[510],0.1,0.581,-0.82,1.027,0.002,0.003,69475.0,28403.0,1.0
Breast,SDSC_binary,1|Record_ID[511],-0.174,0.495,-1.0,0.571,0.002,0.003,64542.0,29712.0,1.0
Breast,SDSC_binary,1|Record_ID[512],0.176,0.489,-0.577,0.975,0.002,0.002,68157.0,30351.0,1.0
Breast,SDSC_binary,1|Record_ID[522],-0.315,0.538,-1.209,0.491,0.002,0.002,53958.0,29287.0,1.0
Breast,SDSC_binary,1|Record_ID[537],0.177,0.489,-0.588,0.968,0.002,0.003,61709.0,28565.0,1.0
Breast,SDSC_binary,1|Record_ID[539],-0.086,0.501,-0.875,0.719,0.002,0.003,70232.0,30284.0,1.0
Breast,SDSC_binary,1|Record_ID[543],0.061,0.489,-0.715,0.85,0.002,0.003,73683.0,29455.0,1.0
Breast,SDSC_binary,1|Record_ID[560],0.302,0.516,-0.502,1.128,0.002,0.002,56990.0,28044.0,1.0
Breast,SDSC_binary,1|Record_ID[567],0.112,0.482,-0.662,0.87,0.002,0.002,66842.0,31223.0,1.0
Breast,SDSC_binary,1|Record_ID[570],-0.407,0.567,-1.313,0.467,0.003,0.003,45178.0,27242.0,1.0
